Id,TagName,Count,ExcerptPostId,WikiPostId
"1","definitions","31","105","104"
"2","machine-learning","8347","4909","4908"
"3","bigdata","430","66","65"
"5","data-mining","1020","80","79"
"6","databases","79","8960","8959"
"8","libsvm","14","18","17"
"10","scalability","27","",""
"11","efficiency","32","142","141"
"12","performance","135","",""
"13","nosql","20","119","118"
"14","relational-dbms","5","",""
"15","clustering","1047","145","144"
"16","octave","16","68","67"
"17","k-means","339","8958","8957"
"19","algorithms","341","8932","8931"
"21","tools","60","",""
"22","processing","17","",""
"23","apache-hadoop","113","5840","5839"
"24","r","1241","49","48"
"26","data-cleaning","526","8940","8939"
"27","statistics","810","3790","3789"
"29","distributed","34","",""
"31","neo4j","12","181","180"
"35","information-retrieval","112","48747","48746"
"36","google","39","80788","80787"
"37","search","46","",""
"39","education","34","8276","8275"
"40","open-source","17","",""
"42","similarity","211","",""
"43","data-stream-mining","14","109","108"
"45","dimensionality-reduction","207","8975","8974"
"46","python","4854","5523","5522"
"47","nlp","1516","147","146"
"48","language-model","63","",""
"50","topic-model","95","8400","8399"
"51","lda","98","6763","6762"
"54","feature-selection","677","8936","8935"
"55","map-reduce","26","137","136"
"56","mongodb","15","178","177"
"59","indexing","13","152","151"
"60","data-indexing-techniques","7","149","148"
"61","dataset","1098","8889","8888"
"62",".net","8","168","167"
"64","pandas","947","9185","9184"
"65","parallel","36","",""
"66","metadata","10","",""
"67","parsing","27","",""
"71","social-network-analysis","86","8973","8972"
"72","time-series","1227","8904","8903"
"73","javascript","29","",""
"74","visualization","518","8952","8951"
"76","svm","455","8574","8573"
"77","classification","2350","4911","4910"
"78","binary","75","",""
"80","optimization","348","8954","8953"
"81","neural-network","3477","8885","8884"
"82","usecase","6","",""
"83","consumerweb","6","",""
"84","parameter","35","",""
"86","clusters","41","",""
"87","aws","42","",""
"90","text-mining","510","8900","8899"
"94","freebase","3","48674","48673"
"95","knowledge-base","20","",""
"100","confusion-matrix","113","9043","9042"
"101","accuracy","255","",""
"102","categorical-data","293","8977","8976"
"104","data-formats","33","",""
"105","hierarchical-data-format","21","",""
"108","sql","78","8990","8989"
"109","research","40","",""
"110","experiments","27","39144","39143"
"113","random-forest","599","8938","8937"
"114","logistic-regression","488","8934","8933"
"115","evaluation","207","43584","43583"
"116","crawling","10","",""
"119","anonymization","9","",""
"120","beginner","131","10335","10334"
"123","graphs","177","",""
"124","cross-validation","452","8988","8987"
"126","sampling","138","",""
"128","scikit-learn","1658","5896","5895"
"129","kaggle","91","48600","48599"
"135","gradient-descent","353","48491","48490"
"136","feature-extraction","315","10019","10018"
"138","state-of-the-art","7","",""
"139","career","52","",""
"143","genetic","5","",""
"144","correlation","275","8969","8968"
"146","error-handling","42","",""
"147","apache-pig","7","22402","22401"
"156","glm","25","",""
"157","regression","1114","8906","8905"
"158","scala","42","49016","49015"
"159","csv","76","8992","8991"
"160","online-learning","46","",""
"164","gbm","50","9096","9095"
"167","marketing","27","",""
"168","predictive-modeling","934","8902","8901"
"175","library","13","",""
"179","java","53","10021","10020"
"180","energy","4","",""
"184","anomaly-detection","248","48505","48504"
"185","forecast","95","",""
"186","sequence","94","9053","9052"
"191","hbase","2","48678","48677"
"193","tableau","35","",""
"194","deep-learning","3446","8956","8955"
"195","ensemble-modeling","141","48541","48540"
"197","infographics","7","",""
"200","feature-scaling","183","21855","21854"
"201","apache-mahout","15","48660","48659"
"202","hive","17","48745","48744"
"205","object-recognition","57","",""
"206","hog","3","",""
"207","computer-vision","420","9205","9204"
"211","methods","16","",""
"212","scoring","41","",""
"213","ranking","83","9049","9048"
"214","sports","6","",""
"215","markov-process","57","8986","8985"
"216","matlab","146","48517","48516"
"217","simulation","25","",""
"218","finance","43","48020","48019"
"219","apache-spark","224","8971","8970"
"220","linear-regression","545","8887","8886"
"222","version-control","8","",""
"223","convnet","465","12581","12580"
"224","image-classification","582","51105","51104"
"226","software-development","15","",""
"227","rstudio","48","49014","49013"
"229","programming","33","",""
"232","notation","12","57306","57305"
"233","terminology","73","9059","9058"
"235","sas","18","9051","9050"
"236","hyperparameter","124","21852","21851"
"237","survival-analysis","31","9045","9044"
"238","discriminant-analysis","18","9106","9105"
"239","multiclass-classification","361","",""
"240","books","32","",""
"243","genetic-algorithms","45","",""
"244","featurization","5","",""
"249","decision-trees","542","16988","16987"
"250","self-study","40","",""
"251","named-entity-recognition","108","",""
"254","bioinformatics","22","9098","9097"
"255","data","588","35800","35799"
"261","multitask-learning","24","6442","6441"
"266","word-embeddings","329","6614","6613"
"269","software-recommendation","34","9057","9056"
"271","preprocessing","337","73186","73185"
"272","multilabel-classification","240","6780","6779"
"273","reference-request","66","9055","9054"
"274","julia","11","12599","12598"
"276","loss-function","374","48493","48492"
"278","ggplot2","28","21818","21817"
"279","normalization","209","48521","48520"
"280","weighted-data","45","",""
"281","feature-construction","59","",""
"282","supervised-learning","286","9047","9046"
"283","descriptive-statistics","63","9104","9103"
"284","aggregation","29","",""
"286","c","13","",""
"287","missing-data","127","",""
"288","markov","11","",""
"289","expectation-maximization","21","9102","9101"
"290","distance","111","12579","12578"
"291","cosine-distance","62","48664","48663"
"293","learning","30","",""
"298","ipython","52","48858","48857"
"299","anaconda","46","48656","48655"
"301","numerical","19","",""
"302","history","5","",""
"303","outlier","155","12561","12560"
"304","unsupervised-learning","349","9094","9093"
"305","probability","228","73188","73187"
"307","autoencoder","271","8674","8673"
"310","backpropagation","245","36804","36803"
"311","theano","44","48598","48597"
"312","fuzzy-logic","24","57240","57239"
"313","weka","62","18889","18888"
"315","scraping","35","",""
"317","xgboost","509","12577","12576"
"319","data-wrangling","42","",""
"320","data-product","12","",""
"321","tensorflow","1584","9183","9182"
"322","excel","60","",""
"323","semi-supervised-learning","41","63634","63633"
"324","keras","2160","9251","9250"
"325","azure-ml","44","9253","9252"
"327","machine-translation","64","",""
"328","data-imputation","78","43035","43034"
"329","gensim","78","10237","10236"
"330","lsi","7","",""
"331","model-selection","183","43582","43581"
"332","feature-engineering","411","25556","25555"
"333","hinge-loss","9","9986","9985"
"334","stata","6","",""
"335","text","114","",""
"337","json","29","",""
"340","reinforcement-learning","486","9674","9673"
"341","q-learning","110","9676","9675"
"342","google-prediction-api","10","",""
"344","ab-test","40","48409","48408"
"345","nltk","120","10023","10022"
"346","apache-kafka","4","48658","48657"
"347","pybrain","3","48951","48950"
"348","word2vec","273","12733","12732"
"351","convergence","28","",""
"352","pgm","5","9830","9829"
"354","parameter-estimation","36","",""
"356","bayesian-networks","45","",""
"358","orange","187","9921","9920"
"359","churn","30","",""
"360","naive-bayes-classifier","157","9984","9983"
